排名,名字,价格,24h,7day,最低价,拥有人数,数量,主页
77,GENWATCH - autogen,"1,739.2 SOL",---,---,---,---,---,https://opensea.io/collection/genwatch-autogen
78,Psychedelics Anonymous Psilocybin,48.1 ETH,+13.05%,+107.53%,1.77,3.0K,4.5K,https://opensea.io/collection/psychedelics-anonymous-psilocybin
79,Trippin’ Ape Tribe,"1,673 SOL",+15.66%,-43.22%,22.3,8.9K,10.0K,https://opensea.io/collection/trippin-ape-tribe-solana
80,Cool Cats NFT,47.02 ETH,-15.89%,+123.61%,3.55,5.6K,9.9K,https://opensea.io/collection/cool-cats-nft
81,Sad Kittens NFT,"1,650.33 SOL",-12.65%,+1355.38%,6.95,966,3.3K,https://opensea.io/collection/sadkittensnft
82,Meebits,46.6 ETH,+31.74%,+73.02%,3.45,6.6K,20.0K,https://opensea.io/collection/meebits
83,3Landers,45.14 ETH,+88.03%,+52.97%,0.59,6.1K,10.0K,https://opensea.io/collection/3landers
84,Parallel Alpha,45.04 ETH,-26.27%,+1499.00%,< 0.01,46.9K,665,https://opensea.io/collection/parallelalpha
85,Coolman's Universe,43.97 ETH,+239.12%,-29.75%,0.65,5.5K,10.0K,https://opensea.io/collection/coolmans-universe
86,NoShitZone,42.82 ETH,-33.18%,---,0.55,2.7K,3,https://opensea.io/collection/noshitzone
87,Transdimensional Fox Federation - autogen,"1,504.82 SOL",+395.47%,+267.93%,---,---,---,https://opensea.io/collection/transdimensional-fox-federation-autogen
88,DegenBoyzDAO,"1,462.73 SOL",-31.13%,---,0.95,1.8K,5.4K,https://opensea.io/collection/degenboyzdao
89,Private Jet Pyjama Party First Ladies,41.43 ETH,+2633.11%,+294.38%,0.29,1.4K,3.3K,https://opensea.io/collection/pjppfl
90,OCM Dessert,40.18 ETH,+38.35%,+159.98%,0.6,2.6K,3,https://opensea.io/collection/ocm-dessert
91,EXO - P2E GAME,40.07 ETH,+12039.77%,---,0.01,3.0K,9.9K,https://opensea.io/collection/exo-official
92,BoardGamers: Genesis Players,39.3 ETH,---,---,0.05,908,1.6K,https://opensea.io/collection/boardgamers-genesis
93,NeoTokyo Citizens,39.02 ETH,+121.70%,+47.35%,6.5,2.0K,2.1K,https://opensea.io/collection/neotokyo-citizens
94,Lazy Lions,38.73 ETH,+38.30%,+66.01%,0.74,5.1K,10.1K,https://opensea.io/collection/lazy-lions
95,Chimpers,38.05 ETH,+41.68%,+14.52%,1.66,2.7K,5.6K,https://opensea.io/collection/chimpersnft
96,Boryoku Dragonz,"1,338.87 SOL",+144.25%,+243.54%,199,549,1.1K,https://opensea.io/collection/boryoku-dragonz
97,NFTrees,36.55 ETH,---,+484.29%,10.75,258,421,https://opensea.io/collection/nftrees
98,Blocksmith Labs,"1,288.99 SOL",-22.64%,+21.55%,---,2.7K,4.4K,https://opensea.io/collection/blocksmith-labs
99,Shrapnel Operators Collection Mint,36.45 ETH,-19.45%,---,---,1,3,https://opensea.io/collection/shrapnel-operators-collection-mint
100,adidas Originals Into the Metaverse,36.28 ETH,-31.22%,+31.25%,1.12,20.8K,2,https://opensea.io/collection/adidasoriginals
